Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2329.00,12-10-2015,Tripoto,global community for travellers,nan,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,N/A,Series A
2330.00,12-10-2015,Mubble,Prepaid Bill manager App,nan,Bangalore,Accel Partners,Private Equity,N/A,Series A
2331.00,13-10-2015,Voodoo,Mobile Only Shopping Assistant,nan,New Delhi,SAIF Partners,Seed Funding,"₹ 10,00,000.00",
2332.00,13-10-2015,Lookup,Mobile Messaging Assistant App,nan,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,"₹ 25,00,000.00",Series A
2333.00,14-10-2015,AskMyGift,Personalized Wish List creator app,nan,Noida,Turning Ideas,Seed Funding,"₹ 50,000.00",
2334.00,14-10-2015,Gaana.com,Music Streaming mobile app,nan,Mumbai,Micromax Informatics Ltd,Private Equity,N/A,Strategic Funding
2335.00,14-10-2015,Zappfresh,Raw Meat & Ready to eat food etailer,nan,Gurgaon,Undisclosed Investors,Seed Funding,"₹ 77,000.00",
2336.00,14-10-2015,GymTrekker,Gym Discovery platform,nan,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,N/A,N/A
2337.00,15-10-2015,Bounty App,Online Purchase rewards app,nan,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,N/A,N/A
2338.00,16-10-2015,Homers.in,Home rental platform,nan,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,N/A,N/A
2339.00,16-10-2015,mShipper,Crowdsourced Delivery platform,nan,New Delhi,Vijai Laxmi,Seed Funding,N/A,N/A
2340.00,16-10-2015,BolRealty,Real Estate Insights platform,nan,New Delhi,Manpreet Singh,Seed Funding,N/A,N/A
2341.00,17-10-2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,nan,Mumbai,Parampara Capital,Private Equity,"₹ 10,00,000.00",Series A
2342.00,19-10-2015,LetsVenture,Startup Funding Marketplace,nan,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,N/A,Series A
2343.00,19-10-2015,Citrus Payment,Payments Solution platform,nan,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,"₹ 2,50,00,000.00",Series C
2344.00,19-10-2015,Holidify,Travel Destination Discovery platform,nan,New Delhi,Aarti Group,Seed Funding,"₹ 1,00,000.00",
2345.00,20-10-2015,PrimaSeller,Order Fulfillment SAAS platform,nan,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,N/A,N/A
2346.00,20-10-2015,Opinio,Last Mile Delivery Service,nan,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,"₹ 70,00,000.00",Series A
2347.00,20-10-2015,Attune Technologies,Healthcare IT Solutions & services,nan,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,"₹ 1,00,00,000.00",Series B
2348.00,20-10-2015,iChef.in,Gourmet Meals Delivery,nan,Mumbai,Springboard Ventures,Private Equity,N/A,N/A
2349.00,21-10-2015,Jiyo Natural,Healthy Meals Food delivery platform,nan,Bangalore,Indian Angel Network,Seed Funding,N/A,N/A
2350.00,21-10-2015,AgentDesks,Real Estate Mobile CRM,nan,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,"₹ 29,50,000.00",
2351.00,21-10-2015,White Owl Brewery,Micro-Brewery,nan,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,"₹ 15,30,000.00",Series A
2352.00,21-10-2015,MealHopper,Home Made Food Marketplace,nan,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"₹ 1,00,000.00",
2353.00,21-10-2015,Zenify.in,residential rental management platform,nan,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"₹ 6,40,000.00",
2354.00,21-10-2015,Stockal,Personalized Stock Intelligence Platform,nan,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,N/A,N/A
2355.00,23-10-2015,Medd,Personal Diagnostic Mobile App,nan,Mumbai,Group of Angel investors,Seed Funding,"₹ 1,50,000.00",Bridge Round
2356.00,23-10-2015,Leaping Caravan,Online food ordering & Delivery service,nan,Gurgaon,Group of Angel investors,Seed Funding,"₹ 1,50,000.00",
2357.00,23-10-2015,Frsh,Online food ordering & Delivery service,nan,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,"₹ 10,00,000.00",Bridge Round
2358.00,23-10-2015,Qik Stay,Hotel Aggregator & booking platform,nan,New Delhi,ID Enablers Pvt Ltd,Seed Funding,"₹ 2,50,000.00",
2359.00,26-10-2015,Parcelled,Online Logistics Platform,nan,Bangalore,Delhivery,Private Equity,"₹ 50,00,000.00",
2360.00,26-10-2015,AlmaMapper,Online Student & Campus Social Networking platform,nan,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,"₹ 4,00,000.00",
2361.00,26-10-2015,Flexing It,Professionals & Project Search Marketplace,nan,New Delhi,undisclosed private investors,Seed Funding,"₹ 5,00,000.00",
2362.00,26-10-2015,Netmeds.com,Online Pharmacy,nan,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,"₹ 5,00,00,000.00",Series A
2363.00,26-10-2015,Razorpay,Online Payment Gateway,nan,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,"₹ 90,00,000.00",Series A
2364.00,27-10-2015,Jombay,Psychometric Test Online Software,nan,Pune,Ventureworks India,Private Equity,N/A,N/A
2365.00,27-10-2015,Happitoo,Location based Nightlife recommendation Platform,nan,Mumbai,Unnamed investor,Seed Funding,"₹ 77,000.00",
2366.00,27-10-2015,Care24,Professional Health Services Platform,nan,Mumbai,India Quotient,Seed Funding,"₹ 3,50,000.00",
2367.00,27-10-2015,Roadrunnr,Hyperlocal Logistics Service,nan,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,"₹ 1,00,00,000.00",Series B
2368.00,27-10-2015,Simpli5d,Online user engagement platform,nan,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,N/A,Bridge Funding
2369.00,28-10-2015,ORIGA Leasing,Asset Financing platform,nan,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,"₹ 11,00,000.00",
2370.00,28-10-2015,Smartivity.in,Virtual Reality activity based learning platform,nan,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,"₹ 2,00,000.00",
2371.00,28-10-2015,UrDoorStep,Online Grocery Store,nan,Bangalore,Jupiter Capital,Private Equity,N/A,Series A
2372.00,29-10-2015,Tavaga,Investment management platform,nan,Mumbai,Tracxn Syndicate,Seed Funding,N/A,N/A
2373.00,29-10-2015,Moglix,Industrial Toons Marketplace,nan,Noida,"Accel Partner, Jungle Ventures",Private Equity,N/A,pre-Series A
2374.00,29-10-2015,ZopHop,Public Commute helper App,nan,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,"₹ 4,50,000.00",
2375.00,30-10-2015,Niki.ai,Artificial Intelligence Ecommerce Chatbot,nan,Bangalore,Unilazer Ventures,Seed Funding,N/A,N/A
2376.00,30-10-2015,Instavans,Truck Aggregator & Logistics service,nan,Bangalore,Suresh Vaswani,Seed Funding,N/A,N/A
2377.00,30-10-2015,LiftO,Ridesharing Mobile app,nan,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,"₹ 1,30,000.00",
2378.00,30-10-2015,TinyOwl,Food Discovery & Delivery Mobile app,nan,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,"₹ 75,00,000.00",Series B
2379.00,30-10-2015,Toppr.com,Competitive exam learning platform,nan,Mumbai,InnoVen Capital,Private Equity,"₹ 20,00,000.00",Series C
2380.00,30-10-2015,Kleeto,Document Digitization platform,nan,Gurgaon,GREX,Seed Funding,"₹ 2,30,000.00",pre-Series A
2381.00,30-10-2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,nan,Mumbai,Puneet Bhatia & others,Seed Funding,"₹ 80,000.00",
2382.00,31-10-2015,Jugnoo,Autorickshaw Aggregator & Booking platform,nan,Chandigarh,Paytm,Private Equity,"₹ 1,00,00,000.00",Series B
2383.00,01-09-2015,TOFlo,FinTech Startup Incubation platform,nan,Mumbai,Tania Johny Palathinkal,Seed Funding,"₹ 1,00,000.00",
2384.00,01-09-2015,FXMartIndia,Payment Services platform,nan,Chandigarh,Flipkart,Private Equity,N/A,Strategic Investment (Majority Stake)
2385.00,01-09-2015,Stylecracker,Personalized Styling platform,nan,Mumbai,Group of HNI investors,Private Equity,"₹ 10,00,000.00",Series A
2386.00,01-09-2015,Luxuryhues,Luxury goods Shopping Platform,nan,Gurgaon,Reliance Capital,Private Equity,"₹ 9,00,000.00",Series A
2387.00,02-09-2015,HolaChef,Food Delivery Platform,nan,Mumbai,Ratan Tata,Private Equity,N/A,Part of Series A raised in June 2015
2388.00,02-09-2015,Zivame,Online Lingerie Marketplace,nan,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,"₹ 4,00,00,000.00",Series C
2389.00,02-09-2015,Capillary Tech,Cloud software solutions,nan,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,"₹ 4,50,00,000.00",Series D
2390.00,03-09-2015,Jobspire,Job Search Platform,nan,Bangalore,Purvi Capital,Seed Funding,"₹ 2,60,000.00",
2391.00,03-09-2015,MeraDoctor,Doctor consultancy Mobile App,nan,Mumbai,India Quotient & other investors,Seed Funding,N/A,N/A
2392.00,03-09-2015,Vistaar Finance,Small Business Financing (NBFC),nan,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,"₹ 4,00,00,000.00",
2393.00,03-09-2015,HiJinny,Beauty & Wellness Services Marketplace,nan,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,N/A,N/A
2394.00,04-09-2015,Clapsnslaps,Online Movie Review Platform,nan,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"₹ 1,50,000.00",
2395.00,04-09-2015,Blubox,ECommerce Brands Full Service Agency,nan,Mumbai,Ashish Jhalani,Seed Funding,"₹ 1,00,000.00",
2396.00,04-09-2015,RoomCentral,Cloud-based Hotel Booking Platform,nan,Bangalore,Karanpal Singh,Seed Funding,"₹ 20,00,000.00",
2397.00,07-09-2015,YouthKiAwaaz,Community Driven News/Views Platform,nan,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"₹ 6,00,000.00",
2398.00,07-09-2015,Prozo,Study Material Marketplace,nan,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,"₹ 2,05,000.00",
2399.00,07-09-2015,Zomato,Restaurant Ratings & Reviews platform,nan,Gurgaon,"Temasek, Vy Capital",Private Equity,"₹ 6,00,00,000.00",Late Stage
2400.00,07-09-2015,Sahayog Dairy,Dairy Based Product Manufacturer,nan,Bhopal,Acumen Fund,Private Equity,"₹ 18,00,000.00",Series A
2401.00,08-09-2015,MockBank,Government Test Preparation platform,nan,Bangalore,Blume Ventures,Seed Funding,"₹ 4,00,000.00",
2402.00,08-09-2015,ReportBee,Smart Report Cards for Schools,nan,Chennai,India Educational Investment Fund,Seed Funding,N/A,N/A
2403.00,08-09-2015,GuruG Learning,Teacher empowerment platform,nan,Bangalore,India Educational Investment Fund,Seed Funding,N/A,N/A
2404.00,10-09-2015,OnlineTyari,Multilingual Test Preparation Platform,nan,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"₹ 7,70,000.00",Series A
2405.00,10-09-2015,IndustryBuying,Industrial Tools Marketplace,nan,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"₹ 92,00,000.00",Series B
2406.00,10-09-2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,nan,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"₹ 3,15,000.00",
2407.00,11-09-2015,FitMeIn,Gym & Fitness Studios Subscription platform,nan,New Delhi,Green House Ventures,Seed Funding,"₹ 1,00,000.00",
2408.00,11-09-2015,Envoged,pre-used luxury item Marketplace,nan,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,N/A,N/A
2409.00,11-09-2015,Zapyle,pre-used apparel shopping mobile app,nan,Bangalore,N/A,Seed Funding,"₹ 10,00,000.00",
2410.00,11-09-2015,Renomania,Home Design & Dcor platform,nan,New Delhi,Subodh Gupta,Seed Funding,N/A,N/A
2411.00,12-09-2015,CredR,Used Vehicles Marketplace,nan,Mumbai,Eight Road Ventures,Private Equity,"₹ 1,50,00,000.00",Series A
2412.00,12-09-2015,YatraGenie,Online Bus & Cab ticketing platform,nan,Hyderabad,Ash Bhardwaj,Private Equity,N/A,Series A
2413.00,14-09-2015,CanvasFlip,Mobile App testing platform,nan,Hyderabad,Bessemer Venture Partners,Seed Funding,"₹ 12,00,000.00",
2414.00,14-09-2015,Shadowfax,Hyperlocal Delivery Services,nan,Gurgaon,Eight Roads Ventures,Private Equity,"₹ 90,00,000.00",Series A
2415.00,14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,nan,USA/India,"Aarin Capital, Unitus Seed Fund",Private Equity,"₹ 30,00,000.00",Series A
2416.00,14-09-2015,Ola Cabs,Cab rental Mobile app,nan,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,"₹ 22,50,00,000.00",Late Stage
2417.00,15-09-2015,Coverfox,Online Insurance Distribution Platform,nan,Mumbai,Cataraman Ventures,Private Equity,"₹ 20,00,000.00",Part of $12M Series B funding
2418.00,15-09-2015,MoEngage,Mobile Marketing Automation Platform,nan,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,"₹ 42,50,000.00",Series A
2419.00,15-09-2015,Mubble,Prepaid Mobile Bill Manager App,nan,Bangalore,Nandan Nilekani,Seed Funding,N/A,N/A
2420.00,15-09-2015,Tea Trails,Chain of Tea Cafs,nan,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,"₹ 10,00,000.00",
2421.00,15-09-2015,Room on Call,Branded Budget Hotel Marketplace,nan,Noida,Payal Syal,Seed Funding,"₹ 3,00,000.00",
2422.00,15-09-2015,FYNE,Home Fitting & Fixtures Marketplace,nan,Bangalore,Sandeep Dama & Others,Seed Funding,N/A,Pre-Series A
2423.00,16-09-2015,ChaiPoint,Food Subscription platform,nan,Bangalore,Eight Roads Ventures,Private Equity,"₹ 1,00,00,000.00",Series A
2424.00,16-09-2015,WedmeGood.com,Wedding Planning Platform,nan,Gurgaon,Indian Angel Network,Seed Funding,"₹ 4,10,000.00",
2425.00,16-09-2015,XSTOK,B2B Mobile Auction Marketplace,nan,Mumbai,Oliphans Capital,Seed Funding,"₹ 4,50,000.00",
2426.00,17-09-2015,UniLog,ECommerce Data Analytics Platform,nan,Bangalore,Kalaari Capital,Private Equity,N/A,N/A
2427.00,17-09-2015,Paintcollar,Designer Merchandize Marketplace,nan,Mumbai,Applyifi,Seed Funding,N/A,Bridge Funding
2428.00,17-09-2015,YepMe,Private label Fashion eTailer,nan,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,"₹ 7,50,00,000.00",Series D
2429.00,17-09-2015,Bueno,Online Food ordering & delivery,nan,Gurgaon,High Networth Individuals (No details),Seed Funding,"₹ 6,00,000.00",
2430.00,18-09-2015,Plabro,Real Estate Broker Platform App,nan,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"₹ 3,50,000.00",
2431.00,18-09-2015,CureJoy,Online Health & Wellness platform,nan,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"₹ 11,50,000.00",Pre-Series A
2432.00,18-09-2015,Briston Technomach,Internet of Things platform,nan,New Delhi,Undisclosed,Seed Funding,"₹ 1,50,000.00",
2433.00,18-09-2015,LabStreet,Diagnostic Labs aggregator platform,nan,Gurgaon,Multiple investors,Seed Funding,"₹ 1,50,000.00",
2434.00,19-09-2015,DailyNinja,Hyperlocal Delivery Platform,nan,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,N/A,N/A
2435.00,21-09-2015,Portea Medical,Home Medical Care Services,nan,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"₹ 3,75,00,000.00",
2436.00,21-09-2015,Neotrade Analytics,Real-Time stock data platform,nan,Bangalore,Rainmatter,Seed Funding,"₹ 2,35,000.00",
2437.00,21-09-2015,DishCo,Food discovery & table booking app,nan,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,N/A,N/A
2438.00,21-09-2015,LafaLafa,coupons and cashback aggregator app,nan,Mumbai,500 Startups,Seed Funding,"₹ 1,25,000.00",thru Accelerator
2439.00,21-09-2015,ConnectAbank,Financial Products lead generation platform,nan,Mumbai,Prakhar Bumb,Seed Funding,N/A,N/A
2440.00,22-09-2015,VillFarm,Sustainable Agri-inputs Firm,nan,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,N/A,N/A
2441.00,22-09-2015,Bestdealfinance,Financial Services Portal,nan,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"₹ 30,00,000.00",Series A
2442.00,22-09-2015,GameXS.in,Pre-owned games Marketplace,nan,New Delhi,Lead Angels,Seed Funding,N/A,N/A
2443.00,22-09-2015,The Man Company,Content-based Subscription eCommerce platform,nan,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,N/A,N/A
2444.00,22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",nan,Bangalore,Swarnim Multiventures,Private Equity,"₹ 8,00,000.00",Pre-Series A
2445.00,22-09-2015,Furdo,Online Interior Designing platform,nan,Bangalore,Bhavdeep Reddy,Seed Funding,"₹ 4,00,000.00",
2446.00,22-09-2015,LogiNext,End-to-end Logistics platform,nan,Mumbai,Paytm,Private Equity,"₹ 1,00,00,000.00",Series A
2447.00,22-09-2015,Korra,Private Label Apparel sales,nan,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,"₹ 3,00,000.00",
2448.00,23-09-2015,Credihealth,Healthcare Consulting platform,nan,Gurgaon,Rajat Malhotra,Seed Funding,N/A,N/A
2449.00,23-09-2015,Amigobulls,Stock Market Portal,nan,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,N/A,N/A
2450.00,23-09-2015,SilverPush,Cross-device retargeting platform,nan,Gurgaon / SFO,M&S Partners,Private Equity,"₹ 12,00,000.00",Series A
2451.00,23-09-2015,Juggernaut,Digital & Physical Publishing platform,nan,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"₹ 22,50,000.00",Series A
2452.00,23-09-2015,InnerChef,Food Delivery Platform,nan,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,"₹ 17,50,000.00",pre-Series A
2453.00,24-09-2015,Quintype,Data Driven Publishing platform,nan,Bangalore,Raghav Bahl,Private Equity,"₹ 33,00,000.00",
2454.00,24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,nan,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,"₹ 4,00,000.00",
2455.00,24-09-2015,Fourth Partner Energy,Solar Power Solutions company,nan,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,"₹ 20,00,000.00",Series A
2456.00,24-09-2015,Licious,Online Meat Ordering platform,nan,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,"₹ 10,00,000.00",
2457.00,25-09-2015,TravelKhana,online meal-booking platform for train travelers,nan,New Delhi,Astarc Ventures & Others,Seed Funding,N/A,Pre-Series A
2458.00,28-09-2015,Quickli,hyperlocal delivery platform,nan,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,N/A,N/A
2459.00,28-09-2015,Ola Cabs,Cab Booking app platform,nan,Bangalore,Didi Kuaidi,Private Equity,"₹ 3,00,00,000.00",late Stage (part of $500M funding rnd)
2460.00,29-09-2015,Paytm,E-Commerce & M-Commerce platform,nan,New Delhi,"Alibaba Group, Ant Financial",Private Equity,"₹ 68,00,00,000.00",Late Stage (Alibaba @ 40% equity)
2461.00,29-09-2015,Inmobi,Mobile Advertising platform,nan,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,"₹ 10,00,00,000.00",Late Stage
2462.00,29-09-2015,Peppertap,Hyperlocal Grocery Delivery,nan,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,"₹ 3,60,00,000.00",Series B
2463.00,29-09-2015,Hugefly,Ecommerce Product recommendation platform,nan,Pune,Mayank Singhal and others,Seed Funding,N/A,N/A
2464.00,29-09-2015,Brigge,Activity Based Social Network,nan,Chennai,The Chennai Angels,Seed Funding,N/A,N/A
2465.00,29-09-2015,Zakoopi,Fashion Discovery platform,nan,New Delhi,Uniqorn Ventures,Seed Funding,"₹ 3,50,000.00",
2466.00,29-09-2015,LoanCircle,Consumer lending marketplace,nan,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,N/A,N/A
2467.00,30-09-2015,Infoworks,Big Data Management Platform,nan,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,"₹ 50,00,000.00",
2468.00,30-09-2015,RedDoorz,Budget Accommodation Platform,nan,Noida,Jungle Ventures,Seed Funding,"₹ 10,00,000.00",
2469.00,30-09-2015,FirstTouch,Local Mobile OS,nan,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,N/A,Super angel round
2470.00,30-09-2015,Eywa Media,Digital Signal processing platform,nan,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,"₹ 10,00,000.00",
2471.00,01-08-2015,Snapdeal,Ecommerce Marketplace,nan,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"₹ 50,00,00,000.00",Late Stage Round 7th (More details)
2472.00,01-08-2015,Ressy,Restaurant Discount app,nan,Pune,Mohandas Pai & others,Seed Funding,"₹ 4,00,000.00",
2473.00,03-08-2015,Cuelearn,Tech-enabled learning,nan,New Delhi,Alok Mittal,Seed Funding,N/A,N/A
2474.00,03-08-2015,Connect India,ECommerce Logistics provider,nan,New Delhi,Aavishkaar,Private Equity,"₹ 50,00,000.00",Series A
2475.00,03-08-2015,The Home Salon,on-demand home beauty and wellness portal,nan,Mumbai,VentureNursery,Seed Funding,N/A,N/A
2476.00,03-08-2015,Jusride,Self Driven Car rental,nan,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,N/A,N/A
2477.00,03-08-2015,Oyorooms,Budget Hotel accommodation brand,nan,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,"₹ 10,00,00,000.00",Series B
2478.00,03-08-2015,Glowship,Energy & Environment Online Marketplace,nan,Bangalore,Infuse Ventures,Seed Funding,N/A,N/A
2479.00,03-08-2015,Wizrocket,User Engagment & Analytics platform,nan,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"₹ 96,00,000.00",Series B
2480.00,04-08-2015,Pickingo,On-Demand Delivery Logistics,nan,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"₹ 13,00,000.00",Series A
2481.00,05-08-2015,Grex,fund raising platform for startups,nan,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"₹ 6,50,000.00",
2482.00,05-08-2015,LetsTransport,Logistics Tech Platform,nan,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"₹ 13,00,000.00",
2483.00,05-08-2015,Zo Rooms,Online budget hotel chain,nan,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"₹ 3,00,00,000.00",Series A
2484.00,05-08-2015,Doormint,Hyperlocal Handyman services,nan,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"₹ 30,00,000.00",Series A
2485.00,05-08-2015,NightStay,hotel booking app,nan,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"₹ 5,00,000.00",
2486.00,05-08-2015,Zocalo,Rental Accomodation finder,nan,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,N/A,N/A
2487.00,05-08-2015,Sunday Realty Solutions,Tech Platform for property brokers,nan,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"₹ 7,85,000.00",
2488.00,06-08-2015,Klozee,Luxury Apparel rental,nan,Bangalore,Tracxn Labs,Seed Funding,N/A,N/A
2489.00,06-08-2015,Appvigil,App security testing platform,nan,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"₹ 5,00,000.00",pre Series-A
2490.00,06-08-2015,practo,Doctor Appointment booking app,nan,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"₹ 9,00,00,000.00",Series C
2491.00,06-08-2015,LoudShout,anonymous bulletin board app,nan,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,N/A,N/A
2492.00,06-08-2015,Wetravelsolo,Travel community platform,nan,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,N/A,N/A
2493.00,06-08-2015,Ketto,Crowd funding platform,nan,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"₹ 7,00,000.00",
2494.00,06-08-2015,Ezetap,Mobile based PoS solution,nan,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"₹ 2,50,00,000.00",Series C
2495.00,06-08-2015,NDTV ecommerce venture,Car & Bike ecommerce platform,nan,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,N/A,Series A
2496.00,07-08-2015,Carls Jr,Fast food Chain Franchisee,nan,Gurgaon,YouWeCan Ventures,Seed Funding,"₹ 6,30,000.00",
2497.00,07-08-2015,EasyRewardz,Loyalty Programs & Reward Points,nan,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"₹ 5,00,000.00",Pre-Series A
2498.00,07-08-2015,GIBSS,Energy saving solutions provider,nan,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,N/A,Series A
2499.00,07-08-2015,StoreMore.in,Self-Storage Spaces,nan,Noida,Bedrock Ventures,Seed Funding,N/A,N/A
2500.00,07-08-2015,iOrderFresh,Grocery retail Mobile app,nan,New Delhi,Best Foodworks,Seed Funding,N/A,N/A
2501.00,10-08-2015,MyTaxiIndia,Taxi Rental platform,nan,Gurgaon,"Nihon Kotsu,",Private Equity,"₹ 5,00,000.00",Pre Series-A
2502.00,10-08-2015,eSadar,ecommerce,nan,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"₹ 80,000.00",
