Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
1428.00,08-08-2016,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,N/A,N/A
1429.00,08-08-2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"₹ 40,000.00",nan
1430.00,08-08-2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,"₹ 4,45,000.00",nan
1431.00,08-08-2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,"₹ 2,00,000.00",nan
1432.00,09-08-2016,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A,N/A
1433.00,09-08-2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A,N/A
1434.00,10-08-2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"₹ 5,00,000.00",nan
1435.00,10-08-2016,Bombay Shaving Company,eCommerce,Mens Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"₹ 6,00,000.00",nan
1436.00,11-08-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"₹ 70,00,000.00",nan
1437.00,11-08-2016,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,N/A,N/A
1438.00,11-08-2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,"₹ 2,09,000.00",nan
1439.00,11-08-2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"₹ 1,50,00,000.00",nan
1440.00,12-08-2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"₹ 15,00,000.00",nan
1441.00,12-08-2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,"₹ 15,00,000.00",nan
1442.00,12-08-2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"₹ 1,56,00,000.00",nan
1443.00,12-08-2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,"₹ 5,00,000.00",nan
1444.00,12-08-2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,N/A,N/A
1445.00,15-08-2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,N/A,N/A
1446.00,16-08-2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,N/A,N/A
1447.00,16-08-2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,"₹ 6,20,00,000.00",nan
1448.00,16-08-2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"₹ 17,50,00,000.00",nan
1449.00,16-08-2016,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"₹ 5,00,000.00",nan
1450.00,16-08-2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,"₹ 15,00,000.00",nan
1451.00,16-08-2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"₹ 2,50,000.00",nan
1452.00,16-08-2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,N/A,N/A
1453.00,17-08-2016,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"₹ 3,75,000.00",nan
1454.00,17-08-2016,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,N/A,N/A
1455.00,17-08-2016,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"₹ 6,75,000.00",nan
1456.00,17-08-2016,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,N/A,N/A
1457.00,18-08-2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,N/A,N/A
1458.00,18-08-2016,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,N/A,N/A
1459.00,19-08-2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"₹ 2,00,00,000.00",nan
1460.00,19-08-2016,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,"₹ 3,75,000.00",nan
1461.00,19-08-2016,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,N/A,N/A
1462.00,22-08-2016,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,N/A,N/A
1463.00,22-08-2016,Puro Wellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,"₹ 3,70,00,000.00",nan
1464.00,22-08-2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,N/A,N/A
1465.00,23-08-2016,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,N/A,N/A
1466.00,23-08-2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"₹ 1,00,000.00",nan
1467.00,23-08-2016,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,N/A,N/A
1468.00,23-08-2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"₹ 2,00,000.00",nan
1469.00,24-08-2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,N/A,N/A
1470.00,24-08-2016,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"₹ 10,00,000.00",nan
1471.00,24-08-2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"₹ 1,00,000.00",nan
1472.00,24-08-2016,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,"₹ 5,00,000.00",nan
1473.00,24-08-2016,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,N/A,N/A
1474.00,24-08-2016,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"₹ 5,00,000.00",nan
1475.00,24-08-2016,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,"₹ 9,00,000.00",nan
1476.00,24-08-2016,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,"₹ 30,00,000.00",nan
1477.00,24-08-2016,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,N/A,N/A
1478.00,25-08-2016,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,N/A,N/A
1479.00,25-08-2016,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,"₹ 30,00,000.00",nan
1480.00,25-08-2016,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,N/A,N/A
1481.00,25-08-2016,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Funding,N/A,N/A
1482.00,25-08-2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,"₹ 2,40,00,000.00",nan
1483.00,26-08-2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,"₹ 5,00,000.00",nan
1484.00,26-08-2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"₹ 4,00,00,000.00",nan
1485.00,26-08-2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"₹ 5,50,000.00",nan
1486.00,26-08-2016,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,N/A,N/A
1487.00,29-08-2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"₹ 30,00,000.00",nan
1488.00,29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"₹ 70,00,000.00",nan
1489.00,29-08-2016,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,N/A,N/A
1490.00,29-08-2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,"₹ 10,00,000.00",nan
1491.00,29-08-2016,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"₹ 1,50,00,000.00",nan
1492.00,30-08-2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,"₹ 1,49,000.00",nan
1493.00,30-08-2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"₹ 1,04,000.00",nan
1494.00,30-08-2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,"₹ 6,00,00,000.00",nan
1495.00,30-08-2016,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,"₹ 20,00,000.00",nan
1496.00,30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,"₹ 30,00,000.00",nan
1497.00,30-08-2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,N/A,N/A
1498.00,31-08-2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"₹ 53,00,000.00",nan
1499.00,31-08-2016,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,N/A,N/A
1500.00,01-07-2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,N/A,N/A
1501.00,01-07-2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,N/A,N/A
1502.00,01-07-2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"₹ 5,00,000.00",nan
1503.00,01-07-2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,N/A,N/A
1504.00,02-07-2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"₹ 7,00,000.00",nan
1505.00,04-07-2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,N/A,N/A
1506.00,04-07-2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"₹ 1,50,00,000.00",nan
1507.00,04-07-2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"₹ 2,00,000.00",nan
